1,98,0.08003
1,6,0.0672841
1,79,0.539071
1,10,0.331648
2,85,0.323183
3,85,0.369651
3,84,0.374372
4,99,0.229421
5,92,0.114966
5,95,0.177689
5,86,0.279217
5,10,0.201878
5,81,0.354126
6,98,0.0135207
6,74,0.192051
6,79,0.472209
6,10,0.2644
10,86,0.0804414
10,98,0.252049
10,92,0.31642
10,95,0.379565
11,68,0.19781
11,90,0.262551
12,59,0.151729
12,88,0.190593
12,93,0.226183
12,100,0.247261
12,11,0.449106
13,95,0.184819
13,91,0.452199
15,75,0.0672513
15,98,0.284167
15,11,0.520941
16,56,0.195569
17,85,0.0897637
17,91,0.259519
19,86,0.130298
19,5,0.150738
19,92,0.265431
19,98,0.312062
20,49,0.0672874
20,99,0.282429
21,95,0.0691748
21,36,0.123195
21,92,0.131988
21,48,0.215689
22,81,0.175569
22,48,0.238085
22,53,0.239088
24,73,0.114765
24,84,0.462164
26,4,0.139655
26,78,0.261776
26,82,0.301525
26,90,0.354768
28,94,0.502824
28,11,0.380195
29,62,0.082811
30,99,0.0961845
31,86,0.182587
32,85,0.174298
35,82,0.143688
35,94,0.176283
36,81,0.020371
36,48,0.092726
36,95,0.186962
36,92,0.242123
36,91,0.377766
37,67,0.143052
37,56,0.280347
37,99,0.600792
40,85,0.345478
41,76,0.0185038
43,67,0.094647
43,56,0.23063
43,99,0.60466
48,81,0.0723883
48,92,0.332934
48,79,0.395097
49,11,0.175165
50,4,0.130339
50,90,0.377044
50,11,0.114587
52,97,0.200658
52,99,0.289125
53,40,0.145629
53,84,0.202058
54,80,0.245746
56,64,0.0920059
56,67,0.137297
56,90,0.16559
56,84,0.446429
56,85,0.450995
56,91,0.62072
57,90,0.117319
57,11,0.379003
59,93,0.0800772
60,72,0.128025
60,95,0.305732
60,92,0.367992
63,98,0.219974
63,6,0.221519
65,82,0.198535
68,85,0.252501
69,80,0.315396
72,13,0.116078
72,95,0.276496
72,91,0.567936
73,78,0.235298
73,90,0.327434
74,86,0.137761
74,98,0.189354
74,10,0.214055
79,81,0.33702
81,95,0.207323
81,92,0.26216
82,94,0.319339
84,90,0.280853
85,91,0.169816
85,90,0.285632
85,11,0.310361
86,79,0.275005
86,92,0.394174
88,93,0.0402406
90,94,0.387359
92,95,0.0643675
92,72,0.340276
98,79,0.460337
